count,month,year,community_area,primary_type
3,1,2007,1,02
20,1,2007,1,03
10,1,2007,1,04A
9,1,2007,1,04B
48,1,2007,1,05
89,1,2007,1,06
20,1,2007,1,07
25,1,2007,1,08A
79,1,2007,1,08B
3,1,2007,1,10
15,1,2007,1,11
1,1,2007,1,12
2,1,2007,1,13
63,1,2007,1,14
3,1,2007,1,15
16,1,2007,1,16
75,1,2007,1,18
2,1,2007,1,19
2,1,2007,1,20
1,1,2007,1,22
78,1,2007,1,26
1,1,2007,2,02
11,1,2007,2,03
4,1,2007,2,04A
6,1,2007,2,04B
42,1,2007,2,05
100,1,2007,2,06
11,1,2007,2,07
12,1,2007,2,08A
55,1,2007,2,08B
1,1,2007,2,10
12,1,2007,2,11
1,1,2007,2,13
64,1,2007,2,14
2,1,2007,2,15
5,1,2007,2,16
2,1,2007,2,17
38,1,2007,2,18
1,1,2007,2,22
4,1,2007,2,24
58,1,2007,2,26
1,1,2007,3,02
16,1,2007,3,03
3,1,2007,3,04A
7,1,2007,3,04B
18,1,2007,3,05
123,1,2007,3,06
23,1,2007,3,07
20,1,2007,3,08A
69,1,2007,3,08B
2,1,2007,3,10
23,1,2007,3,11
1,1,2007,3,12
1,1,2007,3,13
50,1,2007,3,14
5,1,2007,3,16
5,1,2007,3,17
91,1,2007,3,18
1,1,2007,3,19
1,1,2007,3,22
11,1,2007,3,24
72,1,2007,3,26
2,1,2007,4,02
1,1,2007,4,03
1,1,2007,4,04B
20,1,2007,4,05
74,1,2007,4,06
8,1,2007,4,07
11,1,2007,4,08A
28,1,2007,4,08B
1,1,2007,4,10
10,1,2007,4,11
1,1,2007,4,12
41,1,2007,4,14
1,1,2007,4,16
2,1,2007,4,17
17,1,2007,4,18
1,1,2007,4,19
2,1,2007,4,22
1,1,2007,4,24
30,1,2007,4,26
5,1,2007,5,03
2,1,2007,5,04A
1,1,2007,5,04B
19,1,2007,5,05
71,1,2007,5,06
9,1,2007,5,07
8,1,2007,5,08A
17,1,2007,5,08B
1,1,2007,5,09
1,1,2007,5,10
9,1,2007,5,11
1,1,2007,5,12
29,1,2007,5,14
1,1,2007,5,15
1,1,2007,5,17
6,1,2007,5,18
1,1,2007,5,19
1,1,2007,5,20
1,1,2007,5,22
32,1,2007,5,26
2,1,2007,6,02
8,1,2007,6,03
1,1,2007,6,04A
1,1,2007,6,04B
64,1,2007,6,05
234,1,2007,6,06
20,1,2007,6,07
11,1,2007,6,08A
60,1,2007,6,08B
5,1,2007,6,10
53,1,2007,6,11
1,1,2007,6,12
1,1,2007,6,13
58,1,2007,6,14
5,1,2007,6,15
9,1,2007,6,16
1,1,2007,6,17
23,1,2007,6,18
1,1,2007,6,20
6,1,2007,6,22
3,1,2007,6,24
44,1,2007,6,26
2,1,2007,7,02
13,1,2007,7,03
2,1,2007,7,04A
9,1,2007,7,04B
57,1,2007,7,05
220,1,2007,7,06
19,1,2007,7,07
11,1,2007,7,08A
52,1,2007,7,08B
2,1,2007,7,10
26,1,2007,7,11
1,1,2007,7,12
1,1,2007,7,13
94,1,2007,7,14
1,1,2007,7,15
2,1,2007,7,17
17,1,2007,7,18
1,1,2007,7,20
3,1,2007,7,22
1,1,2007,7,24
32,1,2007,7,26
2,1,2007,8,02
31,1,2007,8,03
6,1,2007,8,04A
13,1,2007,8,04B
44,1,2007,8,05
393,1,2007,8,06
27,1,2007,8,07
29,1,2007,8,08A
136,1,2007,8,08B
10,1,2007,8,10
87,1,2007,8,11
2,1,2007,8,12
1,1,2007,8,13
73,1,2007,8,14
5,1,2007,8,15
26,1,2007,8,16
3,1,2007,8,17
101,1,2007,8,18
2,1,2007,8,20
5,1,2007,8,22
7,1,2007,8,24
132,1,2007,8,26
6,1,2007,9,05
9,1,2007,9,06
3,1,2007,9,08A
3,1,2007,9,08B
2,1,2007,9,11
8,1,2007,9,14
3,1,2007,9,26
7,1,2007,10,05
35,1,2007,10,06
4,1,2007,10,07
8,1,2007,10,08A
20,1,2007,10,08B
1,1,2007,10,09
9,1,2007,10,11
19,1,2007,10,14
1,1,2007,10,15
1,1,2007,10,16
2,1,2007,10,18
16,1,2007,10,26
1,1,2007,11,03
1,1,2007,11,04A
10,1,2007,11,05
33,1,2007,11,06
4,1,2007,11,07
5,1,2007,11,08A
16,1,2007,11,08B
1,1,2007,11,10
6,1,2007,11,11
26,1,2007,11,14
1,1,2007,11,17
4,1,2007,11,18
1,1,2007,11,20
1,1,2007,11,24
12,1,2007,11,26
2,1,2007,12,04A
4,1,2007,12,05
17,1,2007,12,06
1,1,2007,12,07
1,1,2007,12,08A
1,1,2007,12,08B
3,1,2007,12,11
12,1,2007,12,14
1,1,2007,12,17
1,1,2007,12,18
1,1,2007,12,20
10,1,2007,12,26
4,1,2007,13,03
1,1,2007,13,04B
4,1,2007,13,05
39,1,2007,13,06
5,1,2007,13,07
2,1,2007,13,08A
11,1,2007,13,08B
6,1,2007,13,11
5,1,2007,13,14
1,1,2007,13,17
7,1,2007,13,18
1,1,2007,13,20
13,1,2007,13,26
1,1,2007,14,02
8,1,2007,14,03
4,1,2007,14,04A
6,1,2007,14,04B
20,1,2007,14,05
49,1,2007,14,06
16,1,2007,14,07
6,1,2007,14,08A
37,1,2007,14,08B
2,1,2007,14,10
3,1,2007,14,11
38,1,2007,14,14
8,1,2007,14,15
4,1,2007,14,17
19,1,2007,14,18
2,1,2007,14,19
1,1,2007,14,20
4,1,2007,14,24
32,1,2007,14,26
2,1,2007,15,02
14,1,2007,15,03
3,1,2007,15,04A
3,1,2007,15,04B
28,1,2007,15,05
89,1,2007,15,06
29,1,2007,15,07
14,1,2007,15,08A
54,1,2007,15,08B
3,1,2007,15,10
13,1,2007,15,11
1,1,2007,15,13
65,1,2007,15,14
3,1,2007,15,15
4,1,2007,15,16
3,1,2007,15,17
28,1,2007,15,18
6,1,2007,15,20
3,1,2007,15,22
5,1,2007,15,24
48,1,2007,15,26
2,1,2007,16,02
5,1,2007,16,03
1,1,2007,16,04A
5,1,2007,16,04B
33,1,2007,16,05
72,1,2007,16,06
21,1,2007,16,07
17,1,2007,16,08A
52,1,2007,16,08B
6,1,2007,16,11
61,1,2007,16,14
2,1,2007,16,15
1,1,2007,16,16
4,1,2007,16,17
18,1,2007,16,18
2,1,2007,16,20
2,1,2007,16,24
43,1,2007,16,26
5,1,2007,17,03
1,1,2007,17,04A
1,1,2007,17,04B
9,1,2007,17,05
38,1,2007,17,06
12,1,2007,17,07
6,1,2007,17,08A
28,1,2007,17,08B
1,1,2007,17,10
13,1,2007,17,11
2,1,2007,17,12
1,1,2007,17,13
38,1,2007,17,14
1,1,2007,17,15
5,1,2007,17,17
9,1,2007,17,18
1,1,2007,17,19
2,1,2007,17,20
1,1,2007,17,22
34,1,2007,17,26
1,1,2007,18,02
1,1,2007,18,04A
1,1,2007,18,04B
9,1,2007,18,05
21,1,2007,18,06
14,1,2007,18,07
2,1,2007,18,08A
10,1,2007,18,08B
4,1,2007,18,11
13,1,2007,18,14
1,1,2007,18,18
1,1,2007,18,20
9,1,2007,18,26
6,1,2007,19,02
11,1,2007,19,03
4,1,2007,19,04A
10,1,2007,19,04B
42,1,2007,19,05
124,1,2007,19,06
55,1,2007,19,07
20,1,2007,19,08A
85,1,2007,19,08B
4,1,2007,19,09
5,1,2007,19,10
10,1,2007,19,11
105,1,2007,19,14
4,1,2007,19,15
4,1,2007,19,16
3,1,2007,19,17
34,1,2007,19,18
1,1,2007,19,19
5,1,2007,19,20
1,1,2007,19,22
5,1,2007,19,24
60,1,2007,19,26
3,1,2007,20,03
4,1,2007,20,04A
4,1,2007,20,04B
14,1,2007,20,05
32,1,2007,20,06
12,1,2007,20,07
7,1,2007,20,08A
30,1,2007,20,08B
2,1,2007,20,10
4,1,2007,20,11
31,1,2007,20,14
4,1,2007,20,15
8,1,2007,20,16
23,1,2007,20,18
2,1,2007,20,20
1,1,2007,20,22
5,1,2007,20,24
19,1,2007,20,26
18,1,2007,21,03
4,1,2007,21,04A
10,1,2007,21,04B
16,1,2007,21,05
66,1,2007,21,06
22,1,2007,21,07
18,1,2007,21,08A
39,1,2007,21,08B
1,1,2007,21,09
2,1,2007,21,10
7,1,2007,21,11
40,1,2007,21,14
2,1,2007,21,15
2,1,2007,21,16
2,1,2007,21,17
29,1,2007,21,18
2,1,2007,21,20
1,1,2007,21,22
3,1,2007,21,24
32,1,2007,21,26
4,1,2007,22,02
28,1,2007,22,03
8,1,2007,22,04A
10,1,2007,22,04B
46,1,2007,22,05
163,1,2007,22,06
33,1,2007,22,07
21,1,2007,22,08A
98,1,2007,22,08B
1,1,2007,22,09
5,1,2007,22,10
6,1,2007,22,11
106,1,2007,22,14
5,1,2007,22,15
2,1,2007,22,16
4,1,2007,22,17
55,1,2007,22,18
1,1,2007,22,20
1,1,2007,22,22
3,1,2007,22,24
61,1,2007,22,26
4,1,2007,23,01A
2,1,2007,23,02
26,1,2007,23,03
13,1,2007,23,04A
24,1,2007,23,04B
40,1,2007,23,05
129,1,2007,23,06
50,1,2007,23,07
34,1,2007,23,08A
154,1,2007,23,08B
3,1,2007,23,09
3,1,2007,23,10
11,1,2007,23,11
1,1,2007,23,13
70,1,2007,23,14
19,1,2007,23,15
29,1,2007,23,16
5,1,2007,23,17
230,1,2007,23,18
2,1,2007,23,19
4,1,2007,23,20
4,1,2007,23,22
2,1,2007,23,24
85,1,2007,23,26
1,1,2007,24,01A
5,1,2007,24,02
41,1,2007,24,03
15,1,2007,24,04A
15,1,2007,24,04B
50,1,2007,24,05
246,1,2007,24,06
44,1,2007,24,07
38,1,2007,24,08A
114,1,2007,24,08B
2,1,2007,24,09
7,1,2007,24,10
24,1,2007,24,11
121,1,2007,24,14
5,1,2007,24,15
18,1,2007,24,16
3,1,2007,24,17
53,1,2007,24,18
5,1,2007,24,22
7,1,2007,24,24
89,1,2007,24,26
4,1,2007,25,01A
14,1,2007,25,02
75,1,2007,25,03
27,1,2007,25,04A
40,1,2007,25,04B
66,1,2007,25,05
245,1,2007,25,06
92,1,2007,25,07
86,1,2007,25,08A
341,1,2007,25,08B
5,1,2007,25,09
6,1,2007,25,10
33,1,2007,25,11
173,1,2007,25,14
31,1,2007,25,15
40,1,2007,25,16
8,1,2007,25,17
559,1,2007,25,18
4,1,2007,25,19
11,1,2007,25,20
4,1,2007,25,22
14,1,2007,25,24
251,1,2007,25,26
1,1,2007,26,01A
3,1,2007,26,02
25,1,2007,26,03
6,1,2007,26,04A
18,1,2007,26,04B
20,1,2007,26,05
79,1,2007,26,06
22,1,2007,26,07
16,1,2007,26,08A
77,1,2007,26,08B
2,1,2007,26,10
19,1,2007,26,11
46,1,2007,26,14
11,1,2007,26,15
23,1,2007,26,16
2,1,2007,26,17
219,1,2007,26,18
1,1,2007,26,19
2,1,2007,26,20
4,1,2007,26,24
69,1,2007,26,26
5,1,2007,27,02
24,1,2007,27,03
11,1,2007,27,04A
30,1,2007,27,04B
20,1,2007,27,05
90,1,2007,27,06
30,1,2007,27,07
30,1,2007,27,08A
97,1,2007,27,08B
1,1,2007,27,09
1,1,2007,27,10
9,1,2007,27,11
1,1,2007,27,13
61,1,2007,27,14
8,1,2007,27,15
37,1,2007,27,16
145,1,2007,27,18
2,1,2007,27,20
2,1,2007,27,24
88,1,2007,27,26
2,1,2007,28,02
27,1,2007,28,03
11,1,2007,28,04A
15,1,2007,28,04B
25,1,2007,28,05
277,1,2007,28,06
43,1,2007,28,07
47,1,2007,28,08A
112,1,2007,28,08B
1,1,2007,28,09
5,1,2007,28,10
29,1,2007,28,11
84,1,2007,28,14
3,1,2007,28,15
28,1,2007,28,16
3,1,2007,28,17
69,1,2007,28,18
1,1,2007,28,19
3,1,2007,28,20
1,1,2007,28,22
6,1,2007,28,24
109,1,2007,28,26
7,1,2007,29,02
27,1,2007,29,03
11,1,2007,29,04A
17,1,2007,29,04B
26,1,2007,29,05
117,1,2007,29,06
41,1,2007,29,07
31,1,2007,29,08A
135,1,2007,29,08B
1,1,2007,29,10
12,1,2007,29,11
89,1,2007,29,14
8,1,2007,29,15
17,1,2007,29,16
4,1,2007,29,17
264,1,2007,29,18
3,1,2007,29,19
5,1,2007,29,20
1,1,2007,29,22
3,1,2007,29,24
99,1,2007,29,26
2,1,2007,30,01A
8,1,2007,30,02
27,1,2007,30,03
10,1,2007,30,04A
18,1,2007,30,04B
29,1,2007,30,05
106,1,2007,30,06
40,1,2007,30,07
23,1,2007,30,08A
77,1,2007,30,08B
1,1,2007,30,09
3,1,2007,30,10
8,1,2007,30,11
1,1,2007,30,13
69,1,2007,30,14
9,1,2007,30,15
30,1,2007,30,16
3,1,2007,30,17
54,1,2007,30,18
5,1,2007,30,20
5,1,2007,30,22
18,1,2007,30,24
74,1,2007,30,26
2,1,2007,31,02
12,1,2007,31,03
7,1,2007,31,04A
4,1,2007,31,04B
22,1,2007,31,05
65,1,2007,31,06
14,1,2007,31,07
13,1,2007,31,08A
45,1,2007,31,08B
1,1,2007,31,09
2,1,2007,31,10
8,1,2007,31,11
1,1,2007,31,12
1,1,2007,31,13
45,1,2007,31,14
3,1,2007,31,15
6,1,2007,31,16
4,1,2007,31,17
16,1,2007,31,18
5,1,2007,31,20
3,1,2007,31,22
6,1,2007,31,24
35,1,2007,31,26
1,1,2007,32,02
23,1,2007,32,03
1,1,2007,32,04A
2,1,2007,32,04B
13,1,2007,32,05
333,1,2007,32,06
6,1,2007,32,07
23,1,2007,32,08A
49,1,2007,32,08B
9,1,2007,32,10
67,1,2007,32,11
1,1,2007,32,12
49,1,2007,32,14
4,1,2007,32,15
2,1,2007,32,16
3,1,2007,32,17
22,1,2007,32,18
89,1,2007,32,26
1,1,2007,33,01A
1,1,2007,33,02
6,1,2007,33,03
1,1,2007,33,04A
2,1,2007,33,04B
12,1,2007,33,05
72,1,2007,33,06
4,1,2007,33,07
9,1,2007,33,08A
29,1,2007,33,08B
3,1,2007,33,10
14,1,2007,33,11
26,1,2007,33,14
4,1,2007,33,15
2,1,2007,33,17
40,1,2007,33,18
126,1,2007,33,26
6,1,2007,34,03
1,1,2007,34,04A
6,1,2007,34,04B
7,1,2007,34,05
18,1,2007,34,06
2,1,2007,34,08A
6,1,2007,34,08B
2,1,2007,34,10
5,1,2007,34,11
11,1,2007,34,14
1,1,2007,34,17
15,1,2007,34,18
1,1,2007,34,19
6,1,2007,34,26
1,1,2007,35,01A
3,1,2007,35,02
7,1,2007,35,03
2,1,2007,35,04A
8,1,2007,35,04B
12,1,2007,35,05
63,1,2007,35,06
11,1,2007,35,07
16,1,2007,35,08A
64,1,2007,35,08B
5,1,2007,35,11
1,1,2007,35,12
22,1,2007,35,14
6,1,2007,35,15
1,1,2007,35,16
1,1,2007,35,17
244,1,2007,35,18
1,1,2007,35,24
104,1,2007,35,26
1,1,2007,36,03
1,1,2007,36,04A
2,1,2007,36,04B
6,1,2007,36,05
9,1,2007,36,06
2,1,2007,36,07
5,1,2007,36,08A
12,1,2007,36,08B
1,1,2007,36,11
10,1,2007,36,14
7,1,2007,36,18
6,1,2007,36,26
7,1,2007,37,03
2,1,2007,37,04B
2,1,2007,37,05
16,1,2007,37,06
5,1,2007,37,07
4,1,2007,37,08A
22,1,2007,37,08B
1,1,2007,37,10
1,1,2007,37,11
18,1,2007,37,14
1,1,2007,37,15
27,1,2007,37,18
1,1,2007,37,22
2,1,2007,37,24
24,1,2007,37,26
5,1,2007,38,02
20,1,2007,38,03
9,1,2007,38,04A
11,1,2007,38,04B
16,1,2007,38,05
66,1,2007,38,06
19,1,2007,38,07
33,1,2007,38,08A
67,1,2007,38,08B
2,1,2007,38,10
8,1,2007,38,11
45,1,2007,38,14
2,1,2007,38,15
22,1,2007,38,16
2,1,2007,38,17
25,1,2007,38,18
2,1,2007,38,19
5,1,2007,38,20
3,1,2007,38,24
58,1,2007,38,26
5,1,2007,39,03
4,1,2007,39,04B
7,1,2007,39,05
36,1,2007,39,06
10,1,2007,39,07
10,1,2007,39,08A
32,1,2007,39,08B
2,1,2007,39,10
4,1,2007,39,11
16,1,2007,39,14
1,1,2007,39,15
2,1,2007,39,17
4,1,2007,39,18
1,1,2007,39,20
1,1,2007,39,22
1,1,2007,39,24
21,1,2007,39,26
2,1,2007,40,01A
2,1,2007,40,02
13,1,2007,40,03
3,1,2007,40,04A
6,1,2007,40,04B
19,1,2007,40,05
43,1,2007,40,06
18,1,2007,40,07
14,1,2007,40,08A
60,1,2007,40,08B
7,1,2007,40,11
35,1,2007,40,14
2,1,2007,40,15
9,1,2007,40,16
1,1,2007,40,17
28,1,2007,40,18
3,1,2007,40,20
3,1,2007,40,22
4,1,2007,40,24
30,1,2007,40,26
10,1,2007,41,03
4,1,2007,41,04A
3,1,2007,41,04B
40,1,2007,41,05
64,1,2007,41,06
6,1,2007,41,07
14,1,2007,41,08A
19,1,2007,41,08B
2,1,2007,41,10
15,1,2007,41,11
1,1,2007,41,12
14,1,2007,41,14
2,1,2007,41,17
3,1,2007,41,18
2,1,2007,41,20
1,1,2007,41,24
28,1,2007,41,26
5,1,2007,42,02
36,1,2007,42,03
10,1,2007,42,04A
14,1,2007,42,04B
49,1,2007,42,05
72,1,2007,42,06
19,1,2007,42,07
24,1,2007,42,08A
100,1,2007,42,08B
2,1,2007,42,09
4,1,2007,42,10
7,1,2007,42,11
60,1,2007,42,14
4,1,2007,42,15
7,1,2007,42,16
2,1,2007,42,17
88,1,2007,42,18
2,1,2007,42,19
4,1,2007,42,20
4,1,2007,42,24
97,1,2007,42,26
1,1,2007,43,01A
4,1,2007,43,02
47,1,2007,43,03
16,1,2007,43,04A
24,1,2007,43,04B
53,1,2007,43,05
169,1,2007,43,06
57,1,2007,43,07
44,1,2007,43,08A
194,1,2007,43,08B
2,1,2007,43,10
29,1,2007,43,11
95,1,2007,43,14
15,1,2007,43,15
1,1,2007,43,16
2,1,2007,43,17
106,1,2007,43,18
5,1,2007,43,20
3,1,2007,43,22
6,1,2007,43,24
130,1,2007,43,26
7,1,2007,44,02
33,1,2007,44,03
12,1,2007,44,04A
18,1,2007,44,04B
42,1,2007,44,05
138,1,2007,44,06
34,1,2007,44,07
26,1,2007,44,08A
125,1,2007,44,08B
6,1,2007,44,10
20,1,2007,44,11
1,1,2007,44,13
77,1,2007,44,14
5,1,2007,44,15
3,1,2007,44,16
124,1,2007,44,18
3,1,2007,44,19
4,1,2007,44,20
1,1,2007,44,22
1,1,2007,44,24
87,1,2007,44,26
1,1,2007,45,01A
3,1,2007,45,02
7,1,2007,45,03
1,1,2007,45,04A
1,1,2007,45,04B
5,1,2007,45,05
29,1,2007,45,06
16,1,2007,45,07
7,1,2007,45,08A
36,1,2007,45,08B
2,1,2007,45,10
5,1,2007,45,11
29,1,2007,45,14
2,1,2007,45,15
9,1,2007,45,18
3,1,2007,45,20
2,1,2007,45,22
21,1,2007,45,26
4,1,2007,46,02
23,1,2007,46,03
5,1,2007,46,04A
18,1,2007,46,04B
34,1,2007,46,05
117,1,2007,46,06
34,1,2007,46,07
25,1,2007,46,08A
134,1,2007,46,08B
2,1,2007,46,09
3,1,2007,46,10
9,1,2007,46,11
1,1,2007,46,13
78,1,2007,46,14
4,1,2007,46,15
1,1,2007,46,16
6,1,2007,46,17
73,1,2007,46,18
4,1,2007,46,20
8,1,2007,46,22
1,1,2007,46,24
81,1,2007,46,26
1,1,2007,47,03
2,1,2007,47,04B
4,1,2007,47,05
3,1,2007,47,06
2,1,2007,47,08A
10,1,2007,47,08B
6,1,2007,47,14
1,1,2007,47,15
12,1,2007,47,18
2,1,2007,47,20
2,1,2007,47,22
4,1,2007,47,26
1,1,2007,48,02
4,1,2007,48,03
2,1,2007,48,04A
2,1,2007,48,04B
8,1,2007,48,05
30,1,2007,48,06
20,1,2007,48,07
9,1,2007,48,08A
28,1,2007,48,08B
2,1,2007,48,10
7,1,2007,48,11
28,1,2007,48,14
3,1,2007,48,15
16,1,2007,48,18
16,1,2007,48,26
7,1,2007,49,02
43,1,2007,49,03
12,1,2007,49,04A
20,1,2007,49,04B
38,1,2007,49,05
114,1,2007,49,06
55,1,2007,49,07
39,1,2007,49,08A
147,1,2007,49,08B
5,1,2007,49,10
23,1,2007,49,11
105,1,2007,49,14
14,1,2007,49,15
7,1,2007,49,16
3,1,2007,49,17
194,1,2007,49,18
2,1,2007,49,20
2,1,2007,49,22
5,1,2007,49,24
129,1,2007,49,26
2,1,2007,50,03
1,1,2007,50,04A
2,1,2007,50,04B
7,1,2007,50,05
23,1,2007,50,06
13,1,2007,50,07
10,1,2007,50,08A
32,1,2007,50,08B
4,1,2007,50,11
13,1,2007,50,14
3,1,2007,50,15
9,1,2007,50,18
2,1,2007,50,20
29,1,2007,50,26
2,1,2007,51,02
5,1,2007,51,03
1,1,2007,51,04A
6,1,2007,51,04B
10,1,2007,51,05
43,1,2007,51,06
9,1,2007,51,07
13,1,2007,51,08A
26,1,2007,51,08B
5,1,2007,51,11
30,1,2007,51,14
6,1,2007,51,15
1,1,2007,51,17
20,1,2007,51,18
1,1,2007,51,22
3,1,2007,51,24
25,1,2007,51,26
1,1,2007,52,03
2,1,2007,52,04A
7,1,2007,52,05
22,1,2007,52,06
6,1,2007,52,07
11,1,2007,52,08A
18,1,2007,52,08B
2,1,2007,52,09
3,1,2007,52,10
3,1,2007,52,11
27,1,2007,52,14
2,1,2007,52,15
2,1,2007,52,17
24,1,2007,52,18
3,1,2007,52,20
2,1,2007,52,24
28,1,2007,52,26
16,1,2007,53,03
7,1,2007,53,04A
18,1,2007,53,04B
30,1,2007,53,05
64,1,2007,53,06
43,1,2007,53,07
27,1,2007,53,08A
103,1,2007,53,08B
1,1,2007,53,09
2,1,2007,53,10
4,1,2007,53,11
68,1,2007,53,14
11,1,2007,53,15
10,1,2007,53,16
3,1,2007,53,17
96,1,2007,53,18
10,1,2007,53,20
1,1,2007,53,22
2,1,2007,53,24
65,1,2007,53,26
3,1,2007,54,03
4,1,2007,54,04A
2,1,2007,54,04B
3,1,2007,54,05
10,1,2007,54,06
6,1,2007,54,07
10,1,2007,54,08A
17,1,2007,54,08B
1,1,2007,54,09
14,1,2007,54,14
6,1,2007,54,15
1,1,2007,54,17
34,1,2007,54,18
10,1,2007,54,26
3,1,2007,55,03
3,1,2007,55,05
11,1,2007,55,06
2,1,2007,55,07
2,1,2007,55,08A
7,1,2007,55,08B
2,1,2007,55,11
13,1,2007,55,14
2,1,2007,55,17
8,1,2007,55,18
1,1,2007,55,24
10,1,2007,55,26
8,1,2007,56,03
3,1,2007,56,04A
5,1,2007,56,04B
9,1,2007,56,05
79,1,2007,56,06
17,1,2007,56,07
10,1,2007,56,08A
34,1,2007,56,08B
1,1,2007,56,10
11,1,2007,56,11
31,1,2007,56,14
7,1,2007,56,15
31,1,2007,56,16
34,1,2007,56,18
1,1,2007,56,22
1,1,2007,56,24
30,1,2007,56,26
2,1,2007,57,03
1,1,2007,57,04A
1,1,2007,57,04B
5,1,2007,57,05
40,1,2007,57,06
4,1,2007,57,07
6,1,2007,57,08A
15,1,2007,57,08B
1,1,2007,57,10
2,1,2007,57,11
22,1,2007,57,14
1,1,2007,57,15
11,1,2007,57,16
1,1,2007,57,17
5,1,2007,57,18
1,1,2007,57,24
5,1,2007,57,26
2,1,2007,58,02
13,1,2007,58,03
3,1,2007,58,04A
5,1,2007,58,04B
28,1,2007,58,05
48,1,2007,58,06
23,1,2007,58,07
9,1,2007,58,08A
50,1,2007,58,08B
1,1,2007,58,09
2,1,2007,58,10
6,1,2007,58,11
1,1,2007,58,13
47,1,2007,58,14
4,1,2007,58,15
37,1,2007,58,16
5,1,2007,58,17
20,1,2007,58,18
2,1,2007,58,20
2,1,2007,58,22
2,1,2007,58,24
19,1,2007,58,26
1,1,2007,59,02
4,1,2007,59,03
1,1,2007,59,04A
1,1,2007,59,04B
8,1,2007,59,05
26,1,2007,59,06
6,1,2007,59,07
2,1,2007,59,08A
22,1,2007,59,08B
1,1,2007,59,10
3,1,2007,59,11
28,1,2007,59,14
11,1,2007,59,18
1,1,2007,59,20
6,1,2007,59,22
19,1,2007,59,26
1,1,2007,60,02
3,1,2007,60,03
2,1,2007,60,04A
31,1,2007,60,05
42,1,2007,60,06
6,1,2007,60,07
11,1,2007,60,08A
19,1,2007,60,08B
1,1,2007,60,09
1,1,2007,60,10
5,1,2007,60,11
50,1,2007,60,14
2,1,2007,60,15
2,1,2007,60,16
6,1,2007,60,18
3,1,2007,60,20
1,1,2007,60,22
1,1,2007,60,24
30,1,2007,60,26
1,1,2007,61,01A
5,1,2007,61,02
19,1,2007,61,03
16,1,2007,61,04A
19,1,2007,61,04B
24,1,2007,61,05
120,1,2007,61,06
25,1,2007,61,07
27,1,2007,61,08A
100,1,2007,61,08B
4,1,2007,61,09
3,1,2007,61,10
8,1,2007,61,11
1,1,2007,61,13
79,1,2007,61,14
15,1,2007,61,15
28,1,2007,61,16
6,1,2007,61,17
143,1,2007,61,18
1,1,2007,61,19
4,1,2007,61,20
3,1,2007,61,22
12,1,2007,61,24
58,1,2007,61,26
1,1,2007,62,02
5,1,2007,62,03
2,1,2007,62,04B
13,1,2007,62,05
15,1,2007,62,06
5,1,2007,62,07
6,1,2007,62,08A
7,1,2007,62,08B
4,1,2007,62,11
32,1,2007,62,14
1,1,2007,62,15
4,1,2007,62,17
7,1,2007,62,18
13,1,2007,62,26
3,1,2007,63,02
11,1,2007,63,03
2,1,2007,63,04A
10,1,2007,63,04B
18,1,2007,63,05
51,1,2007,63,06
21,1,2007,63,07
12,1,2007,63,08A
55,1,2007,63,08B
1,1,2007,63,09
1,1,2007,63,10
9,1,2007,63,11
55,1,2007,63,14
3,1,2007,63,15
2,1,2007,63,16
3,1,2007,63,17
41,1,2007,63,18
1,1,2007,63,20
2,1,2007,63,22
5,1,2007,63,24
30,1,2007,63,26
1,1,2007,64,02
2,1,2007,64,04A
2,1,2007,64,04B
4,1,2007,64,05
24,1,2007,64,06
3,1,2007,64,07
7,1,2007,64,08A
19,1,2007,64,08B
1,1,2007,64,09
3,1,2007,64,10
4,1,2007,64,11
26,1,2007,64,14
3,1,2007,64,17
8,1,2007,64,18
22,1,2007,64,26
3,1,2007,65,02
4,1,2007,65,03
7,1,2007,65,04A
2,1,2007,65,04B
13,1,2007,65,05
83,1,2007,65,06
11,1,2007,65,07
8,1,2007,65,08A
25,1,2007,65,08B
2,1,2007,65,10
8,1,2007,65,11
64,1,2007,65,14
1,1,2007,65,16
3,1,2007,65,17
10,1,2007,65,18
2,1,2007,65,20
2,1,2007,65,24
22,1,2007,65,26
8,1,2007,66,02
22,1,2007,66,03
9,1,2007,66,04A
21,1,2007,66,04B
60,1,2007,66,05
133,1,2007,66,06
40,1,2007,66,07
34,1,2007,66,08A
133,1,2007,66,08B
3,1,2007,66,09
12,1,2007,66,10
12,1,2007,66,11
1,1,2007,66,12
95,1,2007,66,14
12,1,2007,66,15
18,1,2007,66,16
3,1,2007,66,17
185,1,2007,66,18
6,1,2007,66,20
2,1,2007,66,22
4,1,2007,66,24
113,1,2007,66,26
3,1,2007,67,01A
7,1,2007,67,02
41,1,2007,67,03
15,1,2007,67,04A
29,1,2007,67,04B
68,1,2007,67,05
152,1,2007,67,06
31,1,2007,67,07
54,1,2007,67,08A
182,1,2007,67,08B
2,1,2007,67,09
4,1,2007,67,10
17,1,2007,67,11
130,1,2007,67,14
24,1,2007,67,15
22,1,2007,67,16
6,1,2007,67,17
131,1,2007,67,18
1,1,2007,67,19
4,1,2007,67,20
4,1,2007,67,24
88,1,2007,67,26
2,1,2007,68,01A
5,1,2007,68,02
32,1,2007,68,03
22,1,2007,68,04A
28,1,2007,68,04B
69,1,2007,68,05
100,1,2007,68,06
36,1,2007,68,07
43,1,2007,68,08A
175,1,2007,68,08B
2,1,2007,68,09
